bike_type,started_at,ended_at,start_station_name,end_station_name,customer_type,trip_duration,month,hour,day_start,season,weekend,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,condition
Classic Bike,09/07/2022 16:15:32,09/07/2022 16:41:12,Lakeview Ave & Fullerton Pkwy,Pine Grove Ave & Waveland Av,Member,"25,66666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:31:58,09/07/2022 17:07:39,Not Available,Benson Ave & Church St,Casual,"35,68333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:31:03,09/07/2022 16:42:31,Not Available,Not Available,Casual,"11,46666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:56:49,09/07/2022 17:02:57,Wells St & Elm St,Halsted St & Clybourn Av,Member,"6,133333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:45:54,09/07/2022 16:58:08,DuSable Lake Shore Dr & Wellington Av,Halsted St & Dickens Av,Casual,"12,23333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:47:27,09/07/2022 17:56:00,Clark St & Armitage Av,Southport Ave & Waveland Av,Casual,"68,55",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:48:53,09/07/2022 17:10:50,Sheffield Ave & Webster Av,Southport Ave & Waveland Av,Member,"21,95",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:41:45,09/07/2022 16:51:07,Not Available,Not Available,Casual,"9,366666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:19:19,09/07/2022 16:20:27,Shedd Aquariu,Shedd Aquariu,Casual,"1,133333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:02:21,09/07/2022 16:18:11,Dearborn St & Van Buren St,Halsted St & Maxwell St,Casual,"15,83333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:45:02,09/07/2022 17:00:32,Logan Blvd & Elston Av,Wilton Ave & Diversey Pkwy,Member,"15,5",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:25:52,09/07/2022 16:46:30,Clark St & Armitage Av,Southport Ave & Roscoe St,Casual,"20,63333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:22:34,09/07/2022 16:29:22,Western Ave & Walton St,Damen Ave & Pierce Av,Member,"6,8",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:12:27,09/07/2022 16:30:16,Not Available,New St & Illinois St,Member,"17,81666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:32:23,09/07/2022 16:46:58,DuSable Lake Shore Dr & North Blvd,Kingsbury St & Erie St,Casual,"14,58333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:41:55,09/07/2022 16:52:13,Clark St & Schiller St,Wells St & Hubbard St,Member,"10,3",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:32:34,09/07/2022 16:54:08,Not Available,Sheffield Ave & Wellington Av,Casual,"21,56666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:29:19,09/07/2022 16:46:43,DuSable Lake Shore Dr & North Blvd,Kingsbury St & Erie St,Casual,"17,4",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:35:56,09/07/2022 16:50:27,Not Available,Larrabee St & Webster Av,Casual,"14,51666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:50:13,09/07/2022 16:57:24,Sheridan Rd & Montrose Av,Clark St & Leland Av,Casual,"7,183333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:08:39,09/07/2022 16:18:41,Broadway & Ridge Av,2112 W Peterson Av,Casual,"10,03333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:57:53,09/07/2022 17:10:32,Sedgwick St & Webster Av,Clark St & Elm St,Casual,"12,65",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:09:59,09/07/2022 16:28:45,Damen Ave & Cortland St,Clark St & Elm St,Casual,"18,76666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:30:25,09/07/2022 16:46:24,Elston Ave & George St,Washtenaw Ave & Lawrence Av,Casual,"15,98333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:21:32,09/07/2022 16:30:10,Not Available,Not Available,Member,"8,633333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:51:05,09/07/2022 16:56:24,Larrabee St & Webster Av,Not Available,Casual,"5,316666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:36:06,09/07/2022 17:00:08,Streeter Dr & Grand Av,Federal St & Polk St,Casual,"24,03333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:54:49,09/07/2022 17:07:05,Not Available,Not Available,Casual,"12,26666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
